video_id,publish_date,views,likes,dislikes,comments_disabled
id3619,2017-11-13,3914,48,3,False
id3516,2017-11-21,3346,48,23,False
id2128,2017-11-22,2519,48,6,False
id1223,2017-11-19,8924,48,2,False
id5681,2017-11-30,12594,48,1,False
id1093,2013-03-12,10283,49,23,False
id1093,2013-03-12,10492,49,23,False
id1093,2013-03-12,10621,49,23,False
id3813,2016-11-10,17616,49,1,False
id4272,2017-11-25,27779,49,7,False
id1093,2013-03-12,10692,49,23,False
id3813,2016-11-10,17716,49,2,False
id3544,2017-12-04,4232,49,4,False
id3689,2017-12-29,6843,49,4,False
id5022,2018-01-31,22034,49,7,False
id5168,2018-01-30,5063,50,1,False
id5168,2018-01-30,5205,50,1,False
id5168,2018-01-30,5251,50,1,False
id4758,2017-11-21,7576,51,34,False
id2128,2017-11-22,2691,51,6,False
id5681,2017-11-30,14370,51,1,False
id1308,2017-12-19,14046,51,6,False
id3689,2017-12-29,7393,51,4,False
id71,2018-01-18,37190,51,3,False
id5222,2017-11-13,5304,52,13,False
id2128,2017-11-22,2805,52,7,False
id3689,2017-12-29,7662,52,4,False
id6175,2018-02-02,10772,52,12,False
id6175,2018-02-02,11043,53,12,False
id1527,2017-11-14,10457,54,4,False
id3516,2017-11-21,5208,54,27,False
id1165,2018-01-13,3640,54,1,False
id4637,2018-01-31,21278,54,5,False
id6175,2018-02-02,11224,54,12,False
id6175,2018-02-02,11312,54,12,False
id5469,2018-02-19,23889,54,3,False
id641,2017-11-20,2367,55,1,False
id3516,2017-11-21,5708,55,27,False
id240,2017-12-14,11148,55,3,False
id5349,2010-09-25,17273,55,4,False
id5349,2010-09-25,17494,55,4,False
id5349,2010-09-25,17636,55,4,False
id5349,2010-09-25,17800,55,4,False
id1701,2018-02-01,4266,55,45,False
id2693,2018-02-02,7036,55,1,False
id3516,2017-11-21,5939,56,27,False
id3516,2017-11-21,6062,56,28,False
id3516,2017-11-21,6183,56,29,False
id2594,2017-11-27,12649,56,35,False
id5349,2010-09-25,17917,56,4,False
